#;Ora;Servizio;Flag;Indirizzo fonte;Nome fonte;Indirizzo destinazione;Info;Tipo
10;05/09/2025 09:17:13,4;to bus;ER;1.1.255;Tunnel 1;1.1.1;SyncReq SourceSeqNr=0038551e8a4f (encrypted);Sec
11;05/09/2025 09:17:13,6;from bus;E;1.1.1;Switching...;1.1.255;SyncRes SourceSeqNr=0038089ba4c0 TargetSeqNr=0038551e8a4f Ch...;Sec
12;05/09/2025 09:17:13,6;to bus;ER;1.1.255;Tunnel 1;1.1.1;ObjectType=9 Instance=1 PID=66 Command=000103090101;FunctionPropertyExtCommand(Sec)
13;05/09/2025 09:17:13,7;from bus;E;1.1.1;Switching...;1.1.255;ObjectType=9 Instance=1 PID=66 ResultCode=00 Data=01;FunctionPropertyExtState_Response(Sec)
14;05/09/2025 09:17:13,8;from bus;E;1.1.1;Switching...;1/1/1;$01 | On;GroupValue_Write(Sec)
15;05/09/2025 09:17:13,9;from bus;E;1.1.1;Switching...;1/1/2;$01 | On;GroupValue_Write(Sec)
16;05/09/2025 09:17:19,2;to bus;ER;1.1.255;Tunnel 1;1.1.1;SyncReq SourceSeqNr=0038551ea0ad (encrypted);Sec
17;05/09/2025 09:17:19,3;from bus;E;1.1.1;Switching...;1.1.255;SyncRes SourceSeqNr=0038089ba4c0 TargetSeqNr=0038551ea0ad C...;Sec
18;05/09/2025 09:17:19,4;to bus;ER;1.1.255;Tunnel 1;1.1.1;ObjectType=9 Instance=1 PID=66 Command=0003030902;FunctionPropertyExtCommand(Sec)
19;05/09/2025 09:17:19,5;from bus;E;1.1.1;Switching...;1.1.255;ObjectType=9 Instance=1 PID=66 ResultCode=00 Data=03;FunctionPropertyExtState_Response(Sec)
20;05/09/2025 09:17:19,6;to bus;E;1.1.1;Switching...;1/1/2;GroupValue_Read(Sec);GroupValue_Read(Sec)
21;05/09/2025 09:17:19,6;from bus;E;1.1.1;Switching...;1/1/2;$01 | On;GroupValue_Response(Sec)
22;05/09/2025 09:17:26,4;to bus;ER;1.1.255;Tunnel 1;1.1.1;SyncReq SourceSeqNr=0038551ebce2 (encrypted);Sec
23;05/09/2025 09:17:26,5;from bus;E;1.1.1;Switching...;1.1.255;SyncRes SourceSeqNr=0038089ba4c0 TargetSeqNr=0038551ebce2 C...;Sec
24;05/09/2025 09:17:26,6;to bus;ER;1.1.255;Tunnel 1;1.1.1;ObjectType=9 Instance=1 PID=66 Command=000103090100;FunctionPropertyExtCommand(Sec)
25;05/09/2025 09:17:26,7;from bus;E;1.1.1;Switching...;1.1.255;ObjectType=9 Instance=1 PID=66 ResultCode=00 Data=01;FunctionPropertyExtState_Response(Sec)
26;05/09/2025 09:17:26,7;to bus;E;1.1.1;Switching...;1/1/2;$00 | Off;GroupValue_Write(Sec)
27;05/09/2025 09:17:26,8;from bus;E;1.1.1;Switching...;1/1/2;$00 | Off;GroupValue_Write(Sec)
28;05/09/2025 09:17:31,4;to bus;ER;1.1.255;Tunnel 1;1.1.1;SyncReq SourceSeqNr=0038551ed09e (encrypted);Sec
29;05/09/2025 09:17:31,6;from bus;E;1.1.1;Switching...;1.1.255;SyncRes SourceSeqNr=0038089ba4c9 TargetSeqNr=0038551ed09e C...;Sec
30;05/09/2025 09:17:31,6;to bus;ER;1.1.255;Tunnel 1;1.1.1;ObjectType=9 Instance=1 PID=66 Command=0003030902;FunctionPropertyExtCommand(Sec)
31;05/09/2025 09:17:31,7;from bus;E;1.1.1;Switching...;1.1.255;ObjectType=9 Instance=1 PID=66 ResultCode=00 Data=03;FunctionPropertyExtState_Response(Sec)
32;05/09/2025 09:17:31,8;to bus;E;1.1.1;Switching...;1/1/2;GroupValue_Read(Sec);GroupValue_Read(Sec)
33;05/09/2025 09:17:31,9;from bus;E;1.1.1;Switching...;1/1/2;$00 | Off;GroupValue_Response(Sec)
34;05/09/2025 09:17:38,1;Stop;;1.1.1;Switching...;1/1/2;Recording was stopped;
